score,b1,b2,b3,b4,b5,b6,b7,b8,b9,p1,p2,s1,s2
-4,0.055999999999999994,0.07100000000000001,-0.029000000000000026,-0.008000000000000007,0.08300000000000002,0.035999999999999976,0.03799999999999998,-0.14400000000000002,-0.313,-0.9199999999999999,0.25,1,0
5,0.05399999999999999,-0.061,0.092,0.011999999999999955,0.07500000000000001,0.137,-0.0050000000000000044,0.037000000000000005,0.026000000000000023,-4.85,-0.3000000000000007,0,0
5,-0.05199999999999999,-0.01100000000000001,-0.16,0.0010000000000000009,-0.01100000000000001,0.0,-0.05400000000000002,-0.006999999999999951,0.041000000000000036,-0.3900000000000001,0.94,0,0
-1,0.038000000000000034,0.03600000000000003,-0.032999999999999974,0.08699999999999997,-0.062,-0.08300000000000002,0.08700000000000002,0.0030000000000000027,0.020000000000000018,0.33000000000000007,0.3500000000000001,0,0
-3,0.027000000000000024,-0.0030000000000000027,0.09,-0.05399999999999999,-0.033999999999999975,0.139,0.010999999999999982,0.133,-0.01200000000000001,0.4499999999999993,-1.33,0,0
2,-0.10000000000000003,0.09799999999999998,0.09399999999999997,0.14900000000000002,-0.07200000000000001,0.06499999999999997,-0.06599999999999998,-0.13399999999999998,0.20900000000000002,-6.27,0.17999999999999972,0,0
7,0.024999999999999967,-0.10099999999999998,0.16,0.05199999999999999,-0.024999999999999967,0.008000000000000007,0.10600000000000001,0.228,0.095,-2.3699999999999997,-0.5099999999999998,0,0
5,0.006000000000000005,-0.14500000000000002,0.07499999999999996,0.027000000000000024,-0.09300000000000003,0.010000000000000009,0.008000000000000007,0.06599999999999998,0.04000000000000001,-4.92,0.7799999999999998,0,0
3,0.03899999999999998,-0.0020000000000000018,-0.006000000000000005,-0.032999999999999974,0.331,-0.024999999999999967,0.046999999999999986,-0.067,0.048000000000000015,-2.6500000000000004,0.2599999999999998,0,0
3,-0.02100000000000002,0.018000000000000016,0.02300000000000002,-0.009000000000000008,0.024999999999999967,-0.06300000000000003,-0.010000000000000009,0.011999999999999983,-0.009000000000000008,1.71,-1.3899999999999997,0,0
-5,-0.016000000000000014,0.022999999999999965,-0.09300000000000003,-0.035999999999999976,-0.009000000000000008,0.029000000000000026,0.064,0.15,-0.04700000000000004,3.0300000000000002,-0.7000000000000002,0,1
-1,-0.07800000000000001,-0.17,0.043999999999999984,0.040000000000000036,0.013000000000000012,0.137,0.02799999999999997,0.04999999999999999,-0.11099999999999999,-4.710000000000001,-0.1299999999999999,1,0
-10,-0.023999999999999966,-0.15699999999999997,-0.008000000000000007,0.05399999999999999,-0.0030000000000000027,-0.0050000000000000044,-0.259,0.12299999999999997,-0.05299999999999999,2.6199999999999997,-0.33999999999999986,0,0
-4,-0.020000000000000018,0.063,0.10900000000000001,0.018000000000000016,0.15700000000000003,-0.039000000000000035,-0.039000000000000035,-0.05300000000000002,-0.057999999999999996,-1.5500000000000003,-1.2599999999999998,0,0
-1,-0.063,-0.11399999999999999,-0.07100000000000001,0.021999999999999992,0.15799999999999997,-0.068,-0.01899999999999999,0.015000000000000013,-0.135,-0.050000000000000266,-0.03000000000000025,0,0
1,-0.028000000000000025,-0.09100000000000003,-0.02100000000000002,-0.01100000000000001,0.061,0.15499999999999997,-0.1,-0.2,0.02100000000000002,-5.34,-0.7200000000000002,0,1
-6,-0.07400000000000001,0.03400000000000003,0.025000000000000022,0.0050000000000000044,-0.07,0.02300000000000002,-0.13,-0.12799999999999997,0.013999999999999985,-0.3500000000000001,0.019999999999999574,0,0
1,0.02999999999999997,-0.0040000000000000036,0.069,0.015000000000000013,-0.134,0.03999999999999998,0.02200000000000002,-0.0040000000000000036,-0.010000000000000009,5.279999999999999,-0.3799999999999999,0,0
-1,0.07500000000000001,0.17700000000000002,0.01799999999999996,-0.08600000000000002,-0.179,0.03199999999999997,-0.273,0.126,-0.25,-3.04,-1.2299999999999995,0,0
-8,-0.096,-0.156,-0.11699999999999999,-0.018000000000000016,0.128,-0.05199999999999999,0.05099999999999999,0.07400000000000001,-0.05199999999999999,6.069999999999999,0.16999999999999993,0,0
1,-0.028000000000000025,-0.09500000000000003,-0.062,-0.07300000000000001,0.056999999999999995,0.03500000000000003,-0.09899999999999998,0.02400000000000002,0.16199999999999998,-2.0,-0.7399999999999998,0,0
-4,-0.07100000000000001,-0.01799999999999996,0.02300000000000002,0.134,-0.01100000000000001,-0.0020000000000000018,-0.0050000000000000044,-0.292,-0.092,3.4499999999999997,0.1200000000000001,0,1
-5,-0.014999999999999958,-0.04299999999999998,0.15000000000000002,0.11499999999999996,0.03799999999999998,0.03699999999999998,0.014000000000000012,-0.06,0.226,0.6300000000000008,-0.22000000000000064,0,0
